// =============================================================================
// AdamR.wad
// =============================================================================

// C: Concrete
C bbrk12864a
C bbrk12864b
C bricks1
C bricks2
C brk648a
C brk648b
C brk648c
C brk3216a
C brk3216b
C brk3216c
C brk3216d
C brk6416a
C brk6416b
C brk6416c
C brk6432a
C brk6432b
C brk6432c
C brk6464a
C brk6464b
C brk6464c
C brk12832a
C brk12832b
C brk12832c
C brk12832d
C brk12864a
C brk12864b
C brk12864c
C brk25664a
C brk25664b
C brk25664c
C brk25664d
C brk128128a
C brk128128b
C brk128128c
C brkdetail12864
C brkdetail256128
C brkdtl256128
C brktrimh16a
C brktrimh16b
C brktrimh16c
C brktrimh16d
C brktrimh32a
C brktrimh32b
C brktrimh32c
C brktrimh32d
C brktrimh64a
C brktrimh64b
C brktrimh64c
C brktrimh128a
C brktrimh128b
C brktrimh128c
C brktrimv648a
C brktrimv648b
C brktrimv648c
C brktrimv3216a
C brktrimv3216b
C brktrimv3216c
C brktrimv6416a
C brktrimv6416b
C brktrimv6416c
C brnstone
C c1a3wall07_bl
C c1a3wall07_gr
C c1a3wall07_or
C c1a3wall07_re
C c1a3wall07_ye
C crete4_red
C csuelo
C desertrocks
C mountainrocks
C muro01
C muro01_hd
C road
C road_brd_h
C road_brd_v
C road_clr_r
C road_clr_y
C road_crn1
C road_crn2
C road_crn3
C road_crn4
C road_end
C road_end_s
C road_park_s
C road_str_h
C road_str_hd
C road_str_hs
C road_str_v
C road_str_vd
C road_str_vs
C rockdoor
C rockdoor2
C rockdoor2_hd
C rockdoor_hd
C rockdoorgear
C rockdoorgear_hd
C rocks_m2g
C rocks_m2i
C rocktiles
C rocktilesgrassh
C rocktilesgrassv
C sidewalk
C tmpl-border
C tmpl-border2
C tmpl-border_hd
C tmpl-brick
C tmpl-brick2
C tmpl-brick2_hd
C tmpl-brick2a
C tmpl-brick2a_hd
C tmpl-brick3
C tmpl-brick3_hd
C tmpl-brick3a
C tmpl-brick3a_hd
C tmpl-brick3w
C tmpl-brick3w_hd
C tmpl-brick3ww
C tmpl-brick3ww_h
C tmpl-brick4
C tmpl-brick4_hd
C tmpl-brick4a
C tmpl-brick4a_hd
C tmpl-brick4g
C tmpl-brick4g_hd
C tmpl-brick4ga
C tmpl-brick4ga_h
C tmpl-brick5
C tmpl-brick5_hd
C tmpl-brick5a
C tmpl-brick5a_hd
C tmpl-brick6
C tmpl-brick6_hd
C tmpl-brick6a
C tmpl-brick6a_hd
C tmpl-brick-arch
C tmpl-brick_hd
C tmpl-drock
C tmpl-drock_hd
C tmpl-floor
C tmpl-floor2
C tmpl-floor2_hd
C tmpl-floor2a
C tmpl-floor2a_hd
C tmpl-floor3
C tmpl-floor3_hd
C tmpl-floor4
C tmpl-floor4_hd
C tmpl-floor5
C tmpl-floor5_hd
C tmpl-floor6
C tmpl-floor6_hd
C tmpl-floor7
C tmpl-floor7_hd
C tmpl-floor_hd
C tmpl-irock
C tmpl-irock_hd
C tmpl-mrock
C tmpl-mrock_hd
C tmpl-muro1
